column,reason,missing_pct,unique_values,correlation,action
D12,exact_duplicates,89.04,635,-,dropped
V322,exact_duplicates,86.05,881,-,dropped
V323,exact_duplicates,86.05,1411,-,dropped
V324,exact_duplicates,86.05,976,-,dropped
TransactionID,identifiers,0.0,590540,-,dropped
C12,highly_correlated_with_C7,0.0,1199,0.9995,flagged
V293,highly_correlated_with_V101,0.0,870,0.9992,flagged
V322,highly_correlated_with_V101,86.05,881,0.9997,flagged
V323,highly_correlated_with_V102,86.05,1411,0.999,flagged
V324,highly_correlated_with_V103,86.05,976,0.9994,flagged
V329,highly_correlated_with_V105,86.05,100,0.9992,flagged
V177,highly_correlated_with_V167,76.36,862,0.9995,flagged
V293,highly_correlated_with_V279,0.0,870,0.9996,flagged
V322,highly_correlated_with_V293,86.05,881,0.9998,flagged
V323,highly_correlated_with_V294,86.05,1411,0.999,flagged
V324,highly_correlated_with_V295,86.05,976,0.9994,flagged
V101,highly_correlated_with_V95,0.05,870,0.9997,flagged
V279,highly_correlated_with_V95,0.0,881,0.9991,flagged
