feature,feature_group,dtype,missing_count,missing_pct,unique_values,is_constant,proposed_action,recommended_encoding,implemented,justification
id_24,identity,float64,585793,99.1962,12,False,KEEP + IMPUTE,none,False,"High missing (99.20%), impute with median/mode"
id_25,identity,float64,585408,99.131,341,False,KEEP + IMPUTE,none,False,"High missing (99.13%), impute with median/mode"
id_07,identity,float64,585385,99.1271,84,False,KEEP + IMPUTE,none,False,"High missing (99.13%), impute with median/mode"
id_08,identity,float64,585385,99.1271,94,False,KEEP + IMPUTE,none,False,"High missing (99.13%), impute with median/mode"
id_21,identity,float64,585381,99.1264,490,False,KEEP + IMPUTE,none,False,"High missing (99.13%), impute with median/mode"
id_26,identity,float64,585377,99.1257,95,False,KEEP + IMPUTE,none,False,"High missing (99.13%), impute with median/mode"
id_27,identity,object,585371,99.1247,2,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
id_23,identity,object,585371,99.1247,3,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
id_22,identity,float64,585371,99.1247,25,False,KEEP + IMPUTE,none,False,"High missing (99.12%), impute with median/mode"
dist2,distance,float64,552913,93.6284,1751,False,KEEP + IMPUTE,none,False,"High missing (93.63%), impute with median/mode"
D7,time_delta,float64,551623,93.4099,597,False,KEEP + IMPUTE,none,False,"High missing (93.41%), impute with median/mode"
id_18,identity,float64,545427,92.3607,18,False,KEEP + IMPUTE,none,False,"High missing (92.36%), impute with median/mode"
D13,time_delta,float64,528588,89.5093,577,False,KEEP + IMPUTE,none,False,"Moderate missing (89.51%), impute with median/mode"
D14,time_delta,float64,528353,89.4695,802,False,KEEP + IMPUTE,none,False,"Moderate missing (89.47%), impute with median/mode"
D12,time_delta,float64,525823,89.041,635,False,KEEP + IMPUTE,none,False,"Moderate missing (89.04%), impute with median/mode"
id_04,identity,float64,524216,88.7689,15,False,KEEP + IMPUTE,none,False,"Moderate missing (88.77%), impute with median/mode"
id_03,identity,float64,524216,88.7689,24,False,KEEP + IMPUTE,none,False,"Moderate missing (88.77%), impute with median/mode"
D6,time_delta,float64,517353,87.6068,829,False,KEEP + IMPUTE,none,False,"Moderate missing (87.61%), impute with median/mode"
id_33,identity,object,517251,87.5895,260,False,KEEP + ENCODE,frequency,False,"High cardinality (260), frequency/target encoding"
id_09,identity,float64,515614,87.3123,46,False,KEEP + IMPUTE,none,False,"Moderate missing (87.31%), impute with median/mode"
D8,time_delta,float64,515614,87.3123,12353,False,KEEP + IMPUTE,none,False,"Moderate missing (87.31%), impute with median/mode"
id_10,identity,float64,515614,87.3123,62,False,KEEP + IMPUTE,none,False,"Moderate missing (87.31%), impute with median/mode"
D9,time_delta,float64,515614,87.3123,24,False,KEEP + IMPUTE,none,False,"Moderate missing (87.31%), impute with median/mode"
id_30,identity,object,512975,86.8654,75,False,KEEP + ENCODE,ordinal,False,"Categorical feature, ordinal/one-hot encoding"
id_32,identity,float64,512954,86.8619,4,False,KEEP + IMPUTE,none,False,"Moderate missing (86.86%), impute with median/mode"
id_34,identity,object,512735,86.8248,4,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
id_14,identity,float64,510496,86.4456,25,False,KEEP + IMPUTE,none,False,"Moderate missing (86.45%), impute with median/mode"
V138,vesta,float64,508595,86.1237,23,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V139,vesta,float64,508595,86.1237,34,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V148,vesta,float64,508595,86.1237,21,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V154,vesta,float64,508595,86.1237,19,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V162,vesta,float64,508595,86.1237,185,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V141,vesta,float64,508595,86.1237,6,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V157,vesta,float64,508595,86.1237,25,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V146,vesta,float64,508595,86.1237,25,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V163,vesta,float64,508595,86.1237,106,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V155,vesta,float64,508595,86.1237,25,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V142,vesta,float64,508595,86.1237,10,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V161,vesta,float64,508595,86.1237,79,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V158,vesta,float64,508595,86.1237,25,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V156,vesta,float64,508595,86.1237,25,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V140,vesta,float64,508595,86.1237,34,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V149,vesta,float64,508595,86.1237,21,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V147,vesta,float64,508595,86.1237,27,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V153,vesta,float64,508595,86.1237,19,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V159,vesta,float64,508589,86.1227,6663,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V160,vesta,float64,508589,86.1227,9621,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V166,vesta,float64,508589,86.1227,987,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V164,vesta,float64,508589,86.1227,1978,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V165,vesta,float64,508589,86.1227,2547,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V152,vesta,float64,508589,86.1227,39,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V145,vesta,float64,508589,86.1227,260,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V143,vesta,float64,508589,86.1227,870,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V144,vesta,float64,508589,86.1227,63,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V150,vesta,float64,508589,86.1227,1996,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V151,vesta,float64,508589,86.1227,56,False,KEEP + IMPUTE,none,False,"Moderate missing (86.12%), impute with median/mode"
V330,vesta,float64,508189,86.055,56,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
V329,vesta,float64,508189,86.055,100,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
V336,vesta,float64,508189,86.055,356,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
V333,vesta,float64,508189,86.055,1971,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
V334,vesta,float64,508189,86.055,143,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
V331,vesta,float64,508189,86.055,1758,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
V326,vesta,float64,508189,86.055,45,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
